CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quantidade por Ocupações de Nível Superior e Tipo de Estabelecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:Jan/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ocupações de Nível Superior;ACADEMIA DA SAÚDE;CENTRAL DE REGUALAÇÃO;CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS;CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF;CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA;CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS;CENTRO DE PARTO NORMAL;CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE;CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA;CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO;CONSULTORIO;COOPERATIVA;FARMACIA;HOSPITAL ESPECIALIZADO;HOSPITAL GERAL;HOSPITAL DIA;LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN;LABORATORIO DE SAUDE PUBLICA;POLICLINICA;OFICINA ORTOPEDICA;POSTO DE SAUDE;PRONTO ANTEDIMENTO;PRONTO SOCORRO ESPECIALIZADO;PRONTO SOCORRO GERAL;SECRETARIA DE SAUDE;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA;UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA;UNIDADE DE VIGILANCIA EM SAUDE;UNIDADE MISTA;UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;TELESAÚDE;Total
Médico patologista;-;-;-;-;1;-;-;-;1;11;2;-;-;20;99;-;-;1;2;-;-;1;-;-;5;-;-;-;86;6;-;-;-;-;-;235
Médico patologista clínico / medicina laboratorial;-;-;-;-;3;-;-;-;-;22;8;1;-;33;150;1;-;2;6;-;-;-;1;-;-;-;-;-;213;1;-;-;-;-;-;441
Médico pneumologista;-;1;1;-;-;-;-;41;1;269;226;6;1;106;777;17;-;-;188;-;2;8;-;4;8;3;-;-;28;2;2;-;-;1;1;1693
Médico radioterapeuta;-;1;-;-;-;-;-;-;4;57;4;-;-;93;217;2;-;-;14;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;411
Médico residente;-;-;-;-;-;68;-;197;16;92;3;16;-;2962;26945;77;-;-;45;-;4;14;110;78;1;1;-;-;8;-;-;1;-;6;-;30644
Médico reumatologista;-;4;-;-;1;-;-;15;-;230;305;9;2;25;524;12;-;-;255;-;-;4;-;3;3;1;-;-;23;-;-;-;-;-;-;1416
Médico urologista;-;1;-;1;-;-;-;36;1;332;258;24;-;88;1352;31;-;-;229;-;-;2;7;5;2;-;-;-;29;-;6;-;-;-;-;2404
OUTRAS OCUPAÇÕES DE NÍVEL SUPERIOR RELAC À SAÚDE;60;41;2;165;440;2657;1;2020;26;8117;1149;14;2;2348;7347;98;180;673;1503;2;98;306;65;69;2524;35;12;9;9207;2232;172;1;5;14;9;41603
Biólogo;-;13;-;2;152;-;-;112;2;293;49;5;-;625;1936;12;107;206;142;-;6;42;9;10;411;1;5;-;2912;466;20;-;1;1;3;7543
BioMédico;-;4;-;2;275;3;1;264;11;701;122;2;1;373;3139;21;55;354;327;-;13;257;27;46;103;2;2;-;5477;56;122;-;3;5;-;11768
Médico veterinário;-;9;-;39;-;1;-;296;1;69;49;1;-;14;46;-;8;48;13;-;18;1;2;1;1742;-;-;-;44;1608;2;-;-;3;-;4015
Coordenador Pedagógico;1;-;-;-;-;3;-;19;-;62;8;-;-;6;6;-;-;-;15;-;-;-;-;2;19;-;-;-;14;2;-;-;-;-;1;158
Engenheiro Agrícola;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
Engenheiro Agrônomo;-;2;-;-;-;1;-;-;-;4;3;-;1;4;2;-;-;-;2;-;-;1;-;-;27;-;-;-;2;18;-;-;-;-;-;67
Físico;-;-;-;-;-;-;-;-;-;9;-;-;-;40;35;-;-;-;2;-;-;-;-;-;7;-;-;-;1;7;1;-;-;-;-;102
Físico (medicina);-;-;-;-;-;-;-;-;1;28;-;-;-;54;130;-;-;-;2;-;-;-;-;-;-;-;-;-;16;1;1;-;-;-;-;233
Físico (nuclear e reatores);-;-;-;-;-;-;-;-;2;68;1;-;-;47;123;3;-;-;9;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;284
Musicólogo;-;-;-;-;-;4;-;-;-;2;-;-;-;2;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
Neuropsicólogo;-;-;-;-;-;1;-;2;-;30;30;-;-;9;16;1;-;-;11;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;101
Orientador Educacional;1;-;1;-;-;96;-;24;-;16;1;-;-;1;11;-;-;-;5;-;-;-;-;-;5;-;-;-;1;8;-;-;-;1;1;172
Ortoptista;-;-;-;-;-;-;-;1;-;46;12;-;-;10;49;15;-;-;7;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;143
Pedagogo;1;4;-;5;10;592;-;78;3;2068;56;-;-;93;138;7;-;-;191;-;26;1;-;-;83;1;2;4;201;9;1;-;-;2;1;3577
Professor de alunos com deficiência auditiva e sur;-;-;-;-;-;-;-;-;-;21;4;-;-;-;1;-;-;-;26;-;-;-;-;-;1;-;-;-;17;-;-;-;-;-;-;70
Professor de alunos com deficiência física;-;-;-;-;-;1;-;-;-;34;2;-;-;3;1;-;-;-;4;-;-;-;-;-;1;-;-;-;5;-;-;-;-;-;-;51
Professor de alunos com deficiência mental;-;-;-;-;-;4;-;-;-;417;1;-;-;3;-;-;-;-;78;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;519
Professor de alunos com deficiência múltipla;-;-;-;-;-;-;-;5;-;288;15;-;-;-;1;-;-;-;20;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;351
Professor de alunos com deficiência visual;-;-;-;-;-;-;-;-;-;72;2;-;-;13;7;1;-;-;2;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;128
Pesquisador de Clinica Médica;-;-;-;-;-;-;-;-;-;1;2;-;-;16;49;1;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;72
Pesquisador de Medicina Basica;-;-;-;-;-;-;-;-;-;1;-;-;-;22;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;25
Pesquisador em Biologia Ambiental Ecologi;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;4;4;-;-;-;-;-;13
Pesquisador em Biologia Animal;-;-;-;-;-;-;-;1;-;-;9;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;15
Pesquisador em Biologia de Microorg e Para;-;-;-;-;-;-;-;6;-;4;1;-;-;7;141;-;-;26;1;-;-;-;4;-;5;-;-;-;77;1;2;-;-;-;-;275
Pesquisador em Biologia Humana;-;-;-;-;-;-;-;-;-;3;-;-;-;135;12;5;-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;162
Pesquisador em Ciências Sociais e Humanas;-;-;-;-;-;-;-;-;-;1;-;-;-;2;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;18
Pesquisador em Psicologia;-;-;-;-;-;-;-;-;-;5;11;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
Pesquisador em Saúde Coletiva;-;-;-;-;-;-;-;8;-;2;-;-;-;14;19;-;-;2;-;-;-;-;-;-;6;-;-;-;1;3;-;-;1;-;1;57
Preparador Físico;14;-;-;-;-;23;-;30;2;46;22;-;-;30;27;2;-;-;20;-;-;-;-;-;3;-;-;1;13;1;4;-;-;-;-;238
Professor da Educação de Jovens e Adulto;-;-;-;-;-;6;-;1;-;27;2;-;-;-;-;-;-;-;2;-;1;-;-;-;1;-;-;1;-;2;-;-;-;-;-;43
Professor de Artes no Ensino Médio;-;-;-;3;1;9;-;1;-;10;-;-;-;-;-;-;-;-;3;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;-;31
Professor de Educação Fisica Ensino Fund;1;-;-;-;-;5;-;9;-;65;2;1;-;4;-;1;-;-;23;-;3;-;-;-;-;-;-;-;8;-;-;-;-;1;-;123
Professor de Educação Fisica Ensino Superior;19;-;-;3;-;41;-;36;-;57;11;-;-;20;14;-;-;-;13;-;-;-;-;-;7;-;-;-;7;-;-;-;-;-;-;228
Professor de Educação Fisica Ensino Médio;13;-;-;2;-;11;-;9;-;56;5;-;-;23;6;-;-;-;2;-;4;-;1;-;4;-;-;-;5;-;-;-;-;-;-;141
Professor de Nutricao;-;2;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
Professor de técnicas e Recursos Audiovisuais;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
Professor de Terapia Ocupacional;1;-;-;-;-;1;-;-;-;3;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
Psicanalista;-;-;-;1;-;5;-;7;-;31;97;-;-;6;10;-;-;-;9;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;169
Psicopedagogo;1;-;-;1;-;117;-;23;-;477;114;-;-;16;28;2;-;-;112;-;4;-;-;-;6;-;-;-;42;-;3;-;-;-;-;946
Químico;-;-;-;-;1;-;-;4;-;8;-;-;-;6;9;-;9;36;1;-;-;-;1;2;20;-;3;-;31;29;-;-;-;-;-;160
Terapeuta ocupacional;8;7;1;107;1;1733;-;1084;4;3089;517;5;-;749;1360;27;-;-;458;2;23;3;21;5;66;31;-;3;216;14;15;1;-;1;-;9551
Total;706;2439;1892;4713;1968;20516;98;176487;820;127320;120402;8497;4346;58721;386321;5167;239;874;42959;14;11154;31340;3984;7844;18763;2310;1992;124;27238;5041;6359;6403;107;1232;170;1088560
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
